                     Fe II          Mg II          Mg I           
      redshift    logN   Dopp    logN   Dopp    logN   Dopp    
   1  0.552948   13.14   0.82   12.59   2.69    0.00   0.00
   2  0.553043   11.94  18.90   11.73   6.69    0.00   0.00
   3  0.553101   12.51   3.55   12.72   3.35    0.00   0.00
   4  0.553131   12.31  21.26   12.20   6.03    0.00   0.00
   1  0.553260   12.03   0.00   10.67   7.16    0.00   0.00
   2  0.553332   12.39   5.67   12.65   7.34    0.00   0.00
   3  0.553396   12.71   2.84   12.92   3.94    0.00   0.00
   4  0.553494   11.88   2.79   12.41   3.52    0.00   0.00
   5  0.553619   11.94   2.40   12.43   3.72    0.00   0.00
   6  0.553692   11.25   0.00   12.08   4.71    0.00   0.00
   7  0.553805   11.11  99.99   11.84   3.19    0.00   0.00
